x_last_hour,x_start_hour,predicted,mc_mean,mc_std,target,error_pct_baseline,error_pct_mcmean,p01,p05,p10,p50,p90,p95,p99,comp_bulk_rate,comp_pos_rate,comp_neg_rate,r_mean,r_abs_mean,batch_id,batch_cov90,batch_cov98
6.699997,17.949997,15.832397,41.737385,41.439613,5.399994,193.19287,672.9154,0.0,0.0,5.208481,26.037308,100.52307,129.37727,188.07994,0.6019,0.35869998,0.0394,25.05819,31.157347,0,0.7307692170143127,0.8557692170143127
5.399994,12.366661,4.7607727,32.376255,40.637276,4.283325,11.146656,655.8673,0.0,0.0,0.0,15.272751,90.00532,119.11044,180.20934,0.59889996,0.3628,0.0383,25.574324,31.597818,0,0.7307692170143127,0.8557692170143127
4.283325,8.46666,1.820961,30.759325,41.094856,3.2666626,44.256226,841.6132,0.0,0.0,0.0,12.655678,90.37557,119.67739,176.39911,0.5943,0.3701,0.0356,26.436424,32.283142,0,0.7307692170143127,0.8557692170143127
3.2666626,8.799995,8.400307,35.344803,41.340614,7.033333,19.435648,402.53278,0.0,0.0,0.0,19.03289,94.560005,122.70554,182.46771,0.599,0.3592,0.0418,25.335365,31.650856,0,0.7307692170143127,0.8557692170143127
7.033333,21.849998,28.35334,54.49568,42.595387,10.650002,166.22852,411.69647,0.0,10.179802,17.90049,38.920494,113.79107,144.40472,206.00246,0.59529996,0.36769998,0.037,25.807812,31.7755,0,0.7307692170143127,0.8557692170143127
10.650002,70.8,47.85698,73.29761,42.720047,16.416664,191.51463,346.48297,5.119136,29.407974,37.224037,58.31378,133.455,161.613,224.09483,0.59709996,0.3622,0.0407,25.39605,31.587074,0,0.7307692170143127,0.8557692170143127
16.416664,122.11667,54.60549,80.16495,43.100964,30.23333,80.613556,165.1542,11.557522,36.4291,43.891167,64.778755,142.02391,170.76735,224.10455,0.6005,0.3602,0.0393,25.531317,31.806803,0,0.7307692170143127,0.8557692170143127
30.23333,143.81667,60.738728,86.28053,42.59402,31.272728,94.22267,175.89705,21.905504,43.546818,50.285877,71.37131,146.73943,176.49886,233.24698,0.6071,0.3588,0.0341,25.534733,31.36074,0,0.7307692170143127,0.8557692170143127
31.272728,168.28333,72.14075,98.343735,43.48507,32.666664,120.839035,201.05228,30.934992,54.10182,61.426422,82.975464,157.87003,189.03369,249.65877,0.589,0.37129998,0.039699998,26.20211,32.242554,0,0.7307692170143127,0.8557692170143127
32.666664,178.26666,81.35318,107.06814,42.906517,36.299995,124.11348,194.95358,40.846786,64.263916,71.181496,91.55809,165.81541,197.48396,259.49304,0.602,0.36249998,0.035499997,25.714966,31.50122,0,0.7307692170143127,0.8557692170143127
