x_last_hour,x_start_hour,predicted_raw,predicted_refined,target,ci_lo,ci_hi,error_rate_refined_%,n_resid_in_window,qhat_used,abs_resid_mean,abs_resid_max
128.0,121.0,128.27879333496094,120.0,141.0,59.00001525878906,168.72142028808594,14.893617021276595,15,60.487921142578124,25.351399739583332,69.27877807617188
10.000007629394531,35.00000762939453,10.266921997070312,1.988128662109375,16.0,-59.01185607910156,50.70954895019531,87.5741958618164,15,60.487921142578124,25.64756062825521,69.27877807617188
144.0,237.0,144.27879333496094,137.01173400878906,143.0,75.00001525878906,184.72142028808594,4.187598595252403,15,60.487921142578124,23.27784627278646,69.27877807617188
13.000007629394531,45.00000762939453,13.278800964355469,12.000007629394531,21.00000762939453,-55.999977111816406,53.72142791748047,42.857127286955595,15,60.487921142578124,22.014769490559896,69.27877807617188
219.0,209.0,219.27877807617188,217.99998474121094,212.0,150.0,259.7214050292969,2.8301814817032724,15,60.487921142578124,21.81429239908854,69.27877807617188
197.0,143.0,197.25137329101562,195.9725799560547,178.0,127.97259521484375,237.69400024414062,10.096955031491397,15,55.35345458984374,18.74762471516927,69.27877807617188
131.0,197.0,131.27867126464844,124.01161193847656,119.0,61.99989318847656,171.72129821777344,4.211438603761817,15,55.35345458984374,19.969305419921874,69.27877807617188
132.0,71.0,132.27879333496094,125.01173400878906,141.0,63.00001525878906,172.72142028808594,11.339195738447474,15,36.769775390625,16.434949747721355,69.27877807617188
186.0,186.0,186.2434539794922,178.9763946533203,209.0,116.96467590332031,198.96466064453125,14.365361409894586,15,26.456848144531246,14.320188395182292,69.27877807617188
192.0,181.0,192.2532958984375,190.97450256347656,189.0,160.9927978515625,215.0098419189453,1.0447103510458002,15,21.354476928710938,11.21870625813802,31.260498046875
154.0,181.0,154.52734375,153.24855041503906,152.0,123.266845703125,177.2838897705078,0.8214147467362253,15,21.354476928710938,10.883673095703125,31.260498046875
56.00000762939453,94.0,56.27880096435547,53.75145721435547,88.00000762939453,25.01830291748047,79.03534698486328,38.918803915647686,15,21.354476928710938,10.602576700846354,31.260498046875
76.0,127.0,76.27879333496094,73.75144958496094,67.0,45.01829528808594,108.0,10.076790425314833,15,27.85891723632812,12.202576700846354,31.721206665039062
197.0,161.0,197.52603149414062,194.99868774414062,202.0,166.26553344726562,229.2472381591797,3.465996166267017,15,27.85891723632812,12.203270467122396,31.721206665039062
175.0,227.0,175.25877380371094,173.97998046875,237.0,143.99827575683594,206.97998046875,26.590725540611814,15,27.85891723632812,12.017064412434896,31.721206665039062
198.0,101.0,198.27101135253906,202.74497985839844,138.0,179.01963806152344,260.0122375488281,46.91665207130322,15,28.13534240722656,14.049112955729166,61.74122619628906
79.0,42.00000762939453,79.27879333496094,78.0,91.0,19.007781982421875,141.02001953125,14.285714285714285,15,48.85108947753905,17.219099934895834,61.74122619628906
99.0,160.0,99.27879333496094,98.0,140.0,39.007781982421875,161.02001953125,30.0,15,48.85108947753905,17.61830851236979,61.74122619628906
70.0,49.00000762939453,70.27879333496094,74.75276184082031,70.0,10.007781982421875,132.02001953125,6.789659772600447,15,52.45108947753906,20.247802734375,61.74122619628906
212.0,215.0,212.27232360839844,211.9935302734375,193.0,152.00131225585938,274.0135498046875,9.84120739556347,15,52.45108947753906,19.751641845703126,61.74122619628906
112.0,170.0,112.27879333496094,112.0,151.0,52.007781982421875,174.02001953125,25.82781456953642,15,52.45108947753906,20.551211547851562,61.74122619628906
111.0,84.0,111.27879333496094,115.75276184082031,114.0,51.007781982421875,173.02001953125,1.5375103866844846,15,52.45108947753906,21.849200439453124,61.74122619628906
20.00000762939453,97.0,20.27880096435547,24.752769470214844,24.00000762939453,-39.992210388183594,82.02002716064453,3.1365066730160165,15,52.45108947753906,21.2120361328125,61.74122619628906
69.0,92.0,69.27879333496094,73.0,59.00000762939453,9.007781982421875,131.02001953125,23.72879755973201,15,52.45108947753906,20.878702799479168,61.74122619628906
144.0,125.0,144.27879333496094,147.0,185.0,84.00778198242188,206.02001953125,20.54054054054054,15,52.45108947753906,20.046852111816406,61.74122619628906
166.0,180.0,166.27879333496094,170.0,196.0,106.00778198242188,228.02001953125,13.26530612244898,15,52.45108947753906,22.544712829589844,61.74122619628906
155.0,185.0,155.27493286132812,159.7489013671875,166.0,95.00392150878906,217.0161590576172,3.765722067959337,15,52.45108947753906,24.357637023925783,61.74122619628906
79.0,132.0,79.27879333496094,83.75276184082031,117.0,19.007781982421875,141.02001953125,28.41644287109375,15,52.45108947753906,22.957894388834635,61.74122619628906
