x_last_hour,x_start_hour,predicted,target,error_rates
4.3783455,13.094921,8.568607,2.6069565,228.6824
2.6069565,6.3770103,5.9851418,2.4532127,143.97157
2.4532127,5.81551,6.4937325,2.6737976,142.86551
2.6737976,10.588242,9.927124,3.72995,166.1463
3.72995,23.870323,19.74548,14.498665,36.188263
14.498665,70.44786,48.532654,40.320858,20.366123
40.320858,119.729805,62.27488,81.463905,23.555248
81.463905,129.272,65.24196,93.5361,30.249437
93.5361,131.01253,69.19431,96.56938,28.347567
96.56938,118.67117,73.92291,89.258026,17.180655
89.258026,112.05475,73.62649,79.7861,7.7201595
79.7861,94.08423,73.34759,80.060165,8.384417
80.060165,101.27673,74.95255,90.97363,17.610685
90.97363,93.82952,77.825714,98.649734,21.109049
98.649734,86.09387,84.37088,90.46791,6.73944
90.46791,85.99203,91.128845,87.48753,4.162092
87.48753,95.325386,100.74599,86.05615,17.070059
86.05615,106.10963,109.05661,102.89439,5.9888825
102.89439,99.97995,109.56503,103.81583,5.5378904
103.81583,96.751335,99.75635,99.17113,0.5901116
99.17113,75.76203,82.88328,77.820854,6.505228
77.820854,55.87567,62.118633,61.925137,0.31246877
61.925137,8.288773,43.20757,49.3115,12.378312
49.3115,4.3783455,26.33928,24.057491,9.484729
24.057491,2.6069565,14.008144,11.370323,23.199175
11.370323,2.4532127,8.882626,8.168453,8.743055
8.168453,2.6737976,8.598415,5.635029,52.588665
5.635029,3.72995,10.92968,7.620323,43.428036
7.620323,14.498665,22.441002,15.461235,45.143658
15.461235,40.320858,51.399208,35.147064,46.240402
35.147064,81.463905,71.03316,63.342247,12.141833
63.342247,93.5361,86.72879,81.15642,6.866213
81.15642,96.56938,98.89653,91.70897,7.837359
91.70897,89.258026,100.900665,94.61899,6.638918
94.61899,79.7861,101.29516,87.45989,15.818983
87.45989,80.060165,102.12904,89.14439,14.565871
89.14439,90.97363,102.75832,93.001335,10.491235
93.001335,98.649734,102.71712,98.20187,4.59792
98.20187,90.46791,102.42604,99.32002,3.1272829
99.32002,87.48753,101.311325,90.40107,12.068724
90.40107,86.05615,99.51672,85.57487,16.291998
85.57487,102.89439,101.899536,94.903076,7.372216
94.903076,103.81583,105.144806,94.51203,11.250181
94.51203,99.17113,102.21962,88.34225,15.708648
88.34225,77.820854,87.86203,78.28209,12.237718
78.28209,61.925137,62.68365,56.016045,11.903029
56.016045,49.3115,45.55096,36.016045,26.47408
36.016045,24.057491,27.101902,21.831554,24.140963
21.831554,11.370323,14.73671,12.847595,14.704031
12.847595,8.168453,9.767574,7.232624,35.048832
7.232624,5.635029,6.9583206,5.046795,37.876034
5.046795,7.620323,6.9541054,4.6524086,49.47323
4.6524086,15.461235,11.313732,11.94519,5.2862973
11.94519,35.147064,31.45143,31.925137,1.4838064
31.925137,63.342247,59.4876,56.0361,6.1594224
56.0361,81.15642,83.79542,74.27139,12.823275
74.27139,91.70897,93.0107,86.69786,7.28142
86.69786,94.61899,95.1085,88.963905,6.9068375
88.963905,87.45989,94.12786,89.05749,5.693372
89.05749,89.14439,93.044815,90.454544,2.8636162
90.454544,93.001335,91.95686,91.664444,0.31901076
91.664444,98.20187,90.77404,90.37433,0.44228444
90.37433,99.32002,89.85358,86.617645,3.7358801
86.617645,90.40107,88.71744,82.647064,7.344936
82.647064,85.57487,87.960175,80.88904,8.741774
80.88904,94.903076,90.38573,88.08155,2.615958
88.08155,94.51203,92.115776,87.580215,5.1787505
87.580215,88.34225,87.704315,78.44251,11.807121
78.44251,78.28209,74.32054,68.49599,8.503497
68.49599,56.016045,55.390045,50.093586,10.573129
50.093586,36.016045,36.996014,31.925137,15.88365
31.925137,21.831554,21.9017,16.203209,35.1689
16.203209,12.847595,12.374699,9.017384,37.23159
9.017384,7.232624,6.778286,6.350273,6.7400703
6.350273,5.046795,5.052376,4.485298,12.64303
4.485298,4.6524086,5.0473137,7.867649,35.847244
7.867649,11.94519,12.433369,17.540108,29.11464
17.540108,31.925137,29.596169,37.225937,20.49584
37.225937,56.0361,49.385025,71.78476,31.204023
71.78476,74.27139,56.852013,91.87166,38.118008
91.87166,86.69786,68.69917,93.114975,26.221132
93.114975,88.963905,71.66661,89.30986,19.755096
89.30986,89.05749,70.73849,68.79679,2.8223646
68.79679,90.454544,69.74686,75.99599,8.222974
75.99599,91.664444,68.889465,102.52673,32.80829
102.52673,90.37433,68.49057,104.32487,34.34876
104.32487,86.617645,69.38259,92.87433,25.294113
92.87433,82.647064,71.93445,84.94517,15.316608
84.94517,80.88904,79.42339,80.11018,0.8573073
80.11018,88.08155,88.65728,91.47059,3.0756428
91.47059,87.580215,91.95198,88.316864,4.115994
88.316864,78.44251,83.823425,77.292786,8.449223
77.292786,68.49599,68.509674,64.41845,6.351014
64.41845,50.093586,49.32548,37.707222,30.811764
37.707222,31.925137,30.594248,27.974602,9.364373
27.974602,16.203209,16.900444,14.592251,15.817939
