idx,x_last_hour,x_start_hour,point_pred,pred_refined,target,ci_lower,ci_upper,error_rate_refined_pct
192,65.614975,50.568184,48.747704,43.21756,39.725937,43.21756,43.87532,8.789278
193,39.725937,27.279411,30.343712,21.321945,28.930485,21.321943,24.813568,26.299385
194,28.930485,14.344925,16.727047,15.313818,14.705887,7.7052794,15.313822,4.13393
195,14.705887,13.168453,10.900883,8.879724,12.586903,8.879722,9.487657,29.452673
196,12.586903,8.375675,6.5025215,8.1885395,12.058826,4.4813604,8.188542,32.095055
197,12.058826,5.1470604,5.782963,11.339266,4.090912,7.4689813,11.339269,177.18187
198,4.090912,8.495991,9.953716,8.261667,5.233963,8.261664,15.510022,57.84726
199,5.233963,16.383694,22.234222,17.514471,16.196526,17.514467,20.542171,8.137211
200,16.196526,37.486633,44.32531,39.605556,38.16845,38.287613,39.605556,3.7651703
201,38.16845,68.8369,64.73152,58.57466,63.75,58.57466,58.693825,8.118178
202,63.75,84.98663,74.376755,73.39523,77.68048,68.219894,73.39523,5.5165052
203,77.68048,89.57887,79.44193,82.74566,97.840576,78.46041,82.74566,15.428075
204,97.840576,79.02453,72.69536,91.094,84.95989,75.999084,91.094,7.220006
205,84.95989,71.016045,71.27892,83.54346,75.15375,83.54346,89.67757,11.163395
206,75.15375,76.50401,71.91638,75.79121,75.54144,75.79121,84.180916,0.33063108
207,75.54144,89.56766,72.70598,76.33104,87.19524,76.33104,76.5808,12.459621
208,87.19524,90.14706,72.96234,87.4516,93.1501,76.5874,87.4516,6.1175475
209,93.1501,84.03743,72.869354,87.35861,91.86531,87.35861,93.05711,4.905768
210,91.86531,81.05826,77.81147,96.80743,128.51605,96.80743,97.99923,24.672892
211,128.51605,73.95722,84.70397,135.40855,127.89455,103.69993,135.40855,5.875159
212,127.89455,86.7246,93.212006,136.40259,128.23584,136.40259,143.9166,6.368538
213,128.23584,89.67246,95.98861,131.01245,119.852936,131.01245,139.1792,9.311007
214,119.852936,81.96524,88.092606,111.95693,105.635025,111.95693,123.11644,5.9846697
215,105.635025,65.614975,70.917366,88.459785,82.89439,88.459785,94.78169,6.7138433
216,82.89439,39.725937,47.65755,59.63457,48.963905,59.63457,65.199974,21.792921
217,48.963905,28.930485,32.15497,33.461323,34.077545,33.461323,44.13199,1.8082944
218,34.077545,14.705887,19.831993,21.13835,16.156422,21.138346,21.754572,30.83559
219,16.156422,12.586903,11.655342,7.9797726,9.050808,7.979769,13.57792,11.833589
220,9.050808,12.058826,7.422386,3.7468164,6.7179184,3.7468133,4.817853,44.22653
221,6.7179184,4.090912,5.6221924,3.0176601,5.6283455,3.0176568,4.917726,46.384598
222,5.6283455,5.233963,7.310314,6.6058483,6.9719276,6.605845,7.3164682,5.250762
223,6.9719276,16.196526,22.030117,21.69173,20.300804,21.691729,22.036272,6.851582
224,20.300804,38.16845,47.035717,46.697327,45.688507,45.306404,46.69733,2.208038
225,45.688507,63.75,70.219345,68.87214,84.93837,68.490036,68.87214,18.915163
226,84.93837,77.68048,82.24682,96.96584,88.62299,80.89961,96.96585,9.413866
227,88.62299,97.840576,82.24192,88.618095,103.972176,88.618095,96.960945,14.76749
228,103.972176,84.95989,79.456696,101.18695,98.90375,85.83287,101.18695,2.3085103
229,98.90375,75.15375,77.83549,97.28254,89.077545,97.28254,99.56574,9.211069
230,89.077545,75.54144,77.471466,88.713524,83.04905,88.713524,96.91852,6.8206367
231,83.04905,87.19524,77.49301,83.070595,83.54947,83.070595,88.73507,0.57316244
232,83.54947,93.1501,77.66309,83.71955,80.76872,83.24068,83.71955,3.6534297
233,80.76872,91.86531,79.72327,82.828896,76.53075,82.828896,85.779724,8.229568
234,76.53075,128.51605,88.92296,85.73044,72.76738,85.73044,92.02859,17.81438
235,72.76738,127.89455,99.42186,83.26628,76.53744,83.26628,96.22934,8.791572
236,76.53744,128.23584,106.24661,90.091034,82.71713,83.36219,90.091034,8.914599
237,82.71713,119.852936,108.91894,85.38946,80.60161,85.38946,86.034515,5.940141
238,80.60161,105.635025,99.76359,71.44626,78.97727,71.44626,76.23411,9.535672
239,78.97727,82.89439,83.48561,62.699295,61.076206,55.16828,62.699295,2.6574814
240,61.076206,48.963905,52.065887,29.656485,42.339577,29.65648,31.279573,29.955643
241,42.339577,34.077545,31.175709,21.449394,3.4959946,8.766303,21.449398,513.542
242,3.4959946,16.156422,19.750618,10.024305,3.482624,-7.9290977,10.024309,187.8377
243,3.482624,9.050808,10.42849,0.0,1.4505386,-17.251226,-5.8395033,100.0
244,1.4505386,6.7179184,3.4443512,0.0,1.5107002,-12.823644,-5.5335984,100.0
245,1.5107002,5.6283455,6.562977,4.6293244,1.7246056,-2.4149754,4.629327,168.42801
246,1.7246056,6.9719276,9.419563,4.5811934,4.1711273,4.5811906,7.4859133,9.831062
247,4.1711273,20.300804,18.497791,13.659417,9.592247,13.249354,13.659422,42.400597
248,9.592247,45.688507,39.41964,30.514097,30.227276,30.514093,34.171204,0.9488826
249,30.227276,84.93837,58.447495,49.54195,63.54278,49.25513,49.54195,22.033709
250,63.54278,88.62299,71.83472,62.642357,81.74465,62.642353,76.93001,23.36825
251,81.74465,103.972176,84.19426,94.104195,85.01994,89.28955,94.1042,10.684848
252,85.01994,98.90375,73.51079,74.33647,74.43182,74.33647,83.42072,0.12810673
253,74.43182,89.077545,68.73464,69.560326,66.39037,69.560326,69.65568,4.774717
254,66.39037,83.04905,70.44803,68.10376,71.5107,68.10376,71.369064,4.7642336
255,71.5107,83.54947,73.89367,74.95634,75.320854,71.5494,74.95634,0.48395255
256,75.320854,80.76872,80.299164,81.72635,81.74657,81.36183,81.72635,0.024732409
257,81.74657,76.53075,85.86038,87.307785,78.833954,87.28757,87.307785,10.748961
258,78.833954,72.76738,91.09433,84.0679,77.78075,84.0679,92.54173,8.083177
259,77.78075,76.53744,97.82411,84.51053,79.39171,84.51053,90.79768,6.44755
260,79.39171,82.71713,103.43317,85.00076,89.786095,85.00076,90.11958,5.3297024
261,89.786095,80.60161,102.289536,88.64246,83.068184,83.85713,88.64246,6.710487
262,83.068184,78.97727,93.98648,74.76513,81.02273,74.76513,80.33941,7.7232637
263,81.02273,61.076206,73.958534,60.99478,63.923798,54.737183,60.99478,4.582043
264,63.923798,42.339577,59.841682,49.806946,45.528076,46.87793,49.806946,9.39831
265,45.528076,3.4959946,41.726162,27.412558,28.509361,27.412554,31.691427,3.8471704
266,28.509361,3.482624,26.37397,13.157167,17.266048,12.060363,13.157171,23.79746
267,17.266048,1.4505386,14.388561,5.2806387,10.487972,1.1717595,5.280641,49.650528
268,10.487972,1.5107002,8.516674,4.6160836,6.2165794,-0.5912488,4.6160865,25.745604
269,6.2165794,1.7246056,7.4625397,5.162442,4.71257,3.5619493,5.1624465,9.546213
270,4.71257,4.1711273,9.7516365,7.0016685,8.074871,7.001665,7.451543,13.290647
271,8.074871,9.592247,16.165134,14.488368,13.576206,13.415164,14.48837,6.7188272
272,13.576206,30.227276,41.282883,38.69396,30.788773,38.693954,39.606117,25.675547
273,30.788773,63.54278,64.70123,54.207123,54.645725,54.207123,62.112305,0.802629
274,54.645725,81.74465,79.14797,69.09246,68.28209,68.65386,69.09247,1.1867994
275,68.28209,85.01994,97.44716,86.581276,84.80921,86.581276,87.391655,2.0894713
276,84.80921,74.43182,98.38142,85.74347,80.48797,85.74347,87.51553,6.529548
277,80.48797,66.39037,97.18236,79.28891,77.30615,79.28891,84.54441,2.5648122
278,77.30615,71.5107,97.16678,77.29057,84.53877,77.29057,79.27333,8.573816
279,84.53877,75.320854,97.72583,85.097824,88.10829,77.849625,85.097824,3.4167812
280,88.10829,81.74657,98.10266,85.474655,90.28075,85.474655,88.48512,5.3234954
281,90.28075,78.833954,98.00792,88.39038,83.09746,88.39038,90.186005,6.3695364
282,83.09746,77.78075,98.99241,84.08195,77.94118,84.08195,91.170494,7.8787236
283,77.94118,79.39171,100.542145,79.49091,78.81685,79.49091,85.63168,0.85522914
284,78.81685,89.786095,101.24759,79.52229,81.397064,79.52229,80.19636,2.3032417
285,81.397064,83.068184,99.62262,79.772095,82.80749,77.89732,79.772095,3.6656017
286,82.80749,81.02273,92.9509,76.135765,78.26203,73.10037,76.135765,2.7168558
287,78.26203,63.923798,73.74917,59.060303,66.40375,56.934036,59.060303,11.058781
288,66.40375,45.528076,59.686687,52.341267,45.41075,44.99782,52.341267,15.261838
289,45.41075,28.509361,40.96838,26.692446,27.352943,26.692442,33.62296,2.4147224
290,27.352943,17.266048,25.407421,11.791983,20.307491,11.131484,11.7919855,41.932846
291,20.307491,10.487972,14.765499,1.1500647,12.399738,1.1500612,9.66557,90.72509
292,12.399738,6.2165794,9.558136,7.1923733,6.911766,4.458205,7.192376,4.059849
293,6.911766,4.71257,6.522106,4.1563435,4.9732666,3.875735,4.156347,16.426289
294,4.9732666,8.074871,6.385475,4.836634,7.840912,3.739104,4.836637,38.31541
295,7.840912,13.576206,10.123062,11.578496,10.755352,8.574221,11.578501,7.6533427
296,10.755352,30.788773,24.517292,25.149584,21.263374,25.14958,25.97273,18.276543
297,21.263374,54.645725,48.723274,45.469357,42.43316,45.469357,49.355564,7.1552477
298,42.43316,68.28209,61.14143,54.851315,64.96658,54.851315,57.887512,15.569957
299,64.96658,84.80921,72.0735,75.89865,75.588234,65.78339,75.89866,0.41066864
300,75.588234,80.48797,85.88884,89.71399,78.76337,89.40357,89.714,13.903193
301,78.76337,77.30615,84.982315,77.85684,77.86096,77.85684,88.49705,0.0052913204
302,77.86096,84.53877,85.57225,78.44678,79.95989,78.44678,78.4509,1.8923424
303,79.95989,88.10829,85.459435,79.84708,85.815506,78.33808,79.84708,6.9549546
304,85.815506,90.28075,85.38083,85.7369,78.582886,79.76847,85.7369,9.103782
305,78.582886,83.09746,85.860306,79.06236,82.49332,79.06236,86.21638,4.159069
306,82.49332,77.94118,87.21322,83.84623,71.891716,80.415276,83.84623,16.6285
307,71.891716,78.81685,89.041916,73.72041,70.70187,73.72041,85.67493,4.269391
308,70.70187,81.397064,89.702805,71.36276,83.17513,71.36276,74.3813,14.201805
309,83.17513,82.80749,88.95396,82.426285,81.79813,70.613914,82.426285,0.7679376
310,81.79813,78.26203,82.885216,75.729385,70.42781,75.729385,76.357544,7.5276723
311,70.42781,66.40375,66.00573,53.548325,56.925137,53.548325,58.8499,5.9320226
312,56.925137,45.41075,54.09309,45.012493,41.397064,41.635685,45.012497,8.73354
313,41.397064,27.352943,35.13499,22.438967,27.774067,22.438963,26.0544,19.208927
314,27.774067,20.307491,22.159824,14.798899,18.348934,9.463798,14.7989025,19.347366
315,18.348934,12.399738,12.957405,9.146513,7.7005386,5.59648,9.146516,18.777575
316,7.7005386,6.911766,6.9501305,1.6932654,4.9732666,1.6932628,3.1392415,65.95265
317,4.9732666,4.9732666,4.730007,2.7531412,4.2379723,-0.5268605,2.7531447,35.036358
318,4.2379723,7.840912,3.7788506,3.2868137,5.868988,1.8019853,3.286817,43.996925
319,5.868988,10.755352,7.8747826,7.3827496,15.300804,7.382746,9.964922,51.74927
320,15.300804,21.263374,19.590466,27.016485,36.163105,21.680601,27.016489,25.292683
