hour,hour_invocation,day_of_week,hour_of_day
58.5,311.93333333333334,2,10
58.75,267.6,2,10
59.0,345.06666666666666,2,11
59.25,330.53333333333336,2,11
59.5,311.2,2,11
59.75,226.66666666666666,2,11
60.0,297.73333333333335,2,12
60.25,328.6666666666667,2,12
60.5,341.73333333333335,2,12
60.75,263.6,2,12
61.0,226.46666666666667,2,13
61.25,290.4,2,13
61.5,259.06666666666666,2,13
61.75,259.53333333333336,2,13
62.0,243.13333333333333,2,14
62.25,269.0,2,14
62.5,244.33333333333334,2,14
62.75,263.46666666666664,2,14
63.0,270.6666666666667,2,15
63.25,308.6666666666667,2,15
63.5,259.26666666666665,2,15
63.75,264.8666666666667,2,15
64.0,264.1333333333333,2,16
64.25,276.53333333333336,2,16
64.5,298.53333333333336,2,16
64.75,308.93333333333334,2,16
65.0,288.73333333333335,2,17
65.25,340.06666666666666,2,17
65.5,329.2,2,17
65.75,369.0,2,17
66.0,372.4,2,18
66.25,356.06666666666666,2,18
66.5,282.3333333333333,2,18
66.75,351.6,2,18
67.0,227.26666666666668,2,19
67.25,236.66666666666666,2,19
67.5,204.8,2,19
67.75,258.46666666666664,2,19
68.0,245.93333333333334,2,20
68.25,276.06666666666666,2,20
68.5,263.1333333333333,2,20
68.75,210.4,2,20
69.0,224.4,2,21
69.25,218.73333333333332,2,21
69.5,278.8666666666667,2,21
69.75,314.46666666666664,2,21
70.0,304.6,2,22
70.25,301.3333333333333,2,22
70.5,328.1333333333333,2,22
70.75,243.73333333333332,2,22
71.0,218.8,2,23
71.25,199.73333333333332,2,23
71.5,224.86666666666667,2,23
71.75,182.2,2,23
72.0,230.73333333333332,3,0
72.25,204.8,3,0
72.5,133.2,3,0
72.75,121.93333333333334,3,0
73.0,284.3333333333333,3,1
73.25,111.86666666666666,3,1
73.5,129.73333333333332,3,1
73.75,98.33333333333333,3,1
74.0,141.6,3,2
74.25,109.06666666666666,3,2
74.5,115.86666666666666,3,2
74.75,100.33333333333333,3,2
75.0,113.4,3,3
75.25,96.13333333333334,3,3
75.5,112.26666666666667,3,3
75.75,83.33333333333333,3,3
76.0,109.2,3,4
76.25,84.06666666666666,3,4
76.5,81.4,3,4
76.75,76.4,3,4
77.0,90.66666666666667,3,5
77.25,88.46666666666667,3,5
77.5,84.13333333333334,3,5
77.75,67.0,3,5
78.0,98.06666666666666,3,6
78.25,87.06666666666666,3,6
78.5,77.33333333333333,3,6
78.75,72.6,3,6
79.0,141.33333333333334,3,7
79.25,133.66666666666666,3,7
79.5,121.4,3,7
79.75,109.13333333333334,3,7
80.0,160.86666666666667,3,8
80.25,146.73333333333332,3,8
80.5,92.13333333333334,3,8
80.75,153.93333333333334,3,8
81.0,144.26666666666668,3,9
81.25,221.86666666666667,3,9
81.5,188.46666666666667,3,9
81.75,186.2,3,9
82.0,218.0,3,10
82.25,360.0,3,10
82.5,283.8666666666667,3,10
82.75,326.46666666666664,3,10
83.0,315.6666666666667,3,11
83.25,328.0,3,11
83.5,326.6,3,11
83.75,329.8666666666667,3,11
84.0,327.46666666666664,3,12
84.25,331.6666666666667,3,12
84.5,308.4,3,12
84.75,328.6,3,12
85.0,292.73333333333335,3,13
85.25,296.0,3,13
85.5,286.8666666666667,3,13
85.75,270.1333333333333,3,13
86.0,219.73333333333332,3,14
86.25,300.8,3,14
86.5,317.2,3,14
86.75,256.6666666666667,3,14
87.0,272.8,3,15
87.25,267.73333333333335,3,15
87.5,277.73333333333335,3,15
87.75,266.4,3,15
88.0,303.93333333333334,3,16
88.25,313.6666666666667,3,16
88.5,291.73333333333335,3,16
88.75,246.73333333333332,3,16
89.0,304.3333333333333,3,17
89.25,327.53333333333336,3,17
89.5,357.46666666666664,3,17
89.75,341.6,3,17
90.0,356.73333333333335,3,18
90.25,343.6666666666667,3,18
90.5,365.8,3,18
90.75,280.0,3,18
91.0,269.6666666666667,3,19
91.25,276.6,3,19
91.5,277.1333333333333,3,19
91.75,251.0,3,19
92.0,267.26666666666665,3,20
92.25,248.53333333333333,3,20
92.5,269.26666666666665,3,20
92.75,235.73333333333332,3,20
93.0,221.0,3,21
93.25,215.53333333333333,3,21
93.5,176.8,3,21
93.75,218.86666666666667,3,21
94.0,229.0,3,22
94.25,259.93333333333334,3,22
94.5,263.46666666666664,3,22
94.75,256.0,3,22
95.0,308.73333333333335,3,23
95.25,269.2,3,23
95.5,192.93333333333334,3,23
95.75,344.8666666666667,3,23
96.0,239.86666666666667,4,0
96.25,229.0,4,0
96.5,259.6,4,0
96.75,178.46666666666667,4,0
97.0,167.26666666666668,4,1
97.25,131.6,4,1
97.5,147.93333333333334,4,1
97.75,118.46666666666667,4,1
98.0,126.4,4,2
98.25,112.26666666666667,4,2
98.5,123.2,4,2
98.75,98.73333333333333,4,2
99.0,104.4,4,3
99.25,111.6,4,3
99.5,92.6,4,3
99.75,75.93333333333334,4,3
100.0,82.26666666666667,4,4
100.25,80.33333333333333,4,4
100.5,79.13333333333334,4,4
100.75,56.733333333333334,4,4
101.0,85.46666666666667,4,5
101.25,72.53333333333333,4,5
101.5,46.93333333333333,4,5
101.75,80.93333333333334,4,5
102.0,77.66666666666667,4,6
102.25,101.8,4,6
102.5,77.8,4,6
102.75,79.8,4,6
103.0,84.33333333333333,4,7
103.25,110.2,4,7
103.5,114.2,4,7
103.75,108.13333333333334,4,7
104.0,187.06666666666666,4,8
104.25,162.06666666666666,4,8
104.5,182.4,4,8
104.75,196.2,4,8
105.0,183.6,4,9
105.25,180.86666666666667,4,9
105.5,213.2,4,9
105.75,110.26666666666667,4,9
106.0,372.6666666666667,4,10
106.25,268.53333333333336,4,10
106.5,324.53333333333336,4,10
106.75,366.26666666666665,4,10
107.0,352.4,4,11
107.25,361.93333333333334,4,11
107.5,343.26666666666665,4,11
107.75,323.8,4,11
108.0,350.6666666666667,4,12
108.25,333.3333333333333,4,12
108.5,317.3333333333333,4,12
108.75,299.53333333333336,4,12
109.0,313.46666666666664,4,13
109.25,302.73333333333335,4,13
109.5,305.6666666666667,4,13
109.75,302.1333333333333,4,13
110.0,325.1333333333333,4,14
110.25,318.4,4,14
110.5,336.06666666666666,4,14
110.75,298.6666666666667,4,14
111.0,356.4,4,15
111.25,331.4,4,15
111.5,360.53333333333336,4,15
111.75,329.06666666666666,4,15
112.0,365.6,4,16
112.25,356.1333333333333,4,16
112.5,371.3333333333333,4,16
112.75,310.6,4,16
113.0,364.3333333333333,4,17
113.25,311.1333333333333,4,17
113.5,375.4,4,17
113.75,346.06666666666666,4,17
114.0,358.4,4,18
114.25,343.93333333333334,4,18
114.5,331.73333333333335,4,18
114.75,338.0,4,18
115.0,324.06666666666666,4,19
115.25,260.6,4,19
115.5,293.26666666666665,4,19
115.75,283.2,4,19
116.0,294.0,4,20
116.25,270.6666666666667,4,20
116.5,261.8666666666667,4,20
116.75,223.86666666666667,4,20
117.0,245.8,4,21
117.25,230.13333333333333,4,21
117.5,238.86666666666667,4,21
117.75,243.6,4,21
118.0,228.93333333333334,4,22
118.25,315.1333333333333,4,22
118.5,293.8666666666667,4,22
118.75,239.73333333333332,4,22
119.0,263.93333333333334,4,23
119.25,234.13333333333333,4,23
119.5,240.06666666666666,4,23
119.75,209.2,4,23
120.0,177.4,5,0
120.25,229.2,5,0
120.5,171.26666666666668,5,0
120.75,195.4,5,0
121.0,183.93333333333334,5,1
121.25,194.93333333333334,5,1
121.5,166.73333333333332,5,1
121.75,167.53333333333333,5,1
122.0,145.6,5,2
122.25,119.06666666666666,5,2
122.5,68.46666666666667,5,2
122.75,98.4,5,2
123.0,92.86666666666666,5,3
123.25,92.93333333333334,5,3
123.5,101.06666666666666,5,3
123.75,96.33333333333333,5,3
124.0,77.26666666666667,5,4
124.25,72.66666666666667,5,4
124.5,66.86666666666666,5,4
124.75,61.93333333333333,5,4
125.0,47.4,5,5
125.25,80.0,5,5
125.5,74.33333333333333,5,5
125.75,78.0,5,5
126.0,87.8,5,6
126.25,109.46666666666667,5,6
