x_hour,x_start,y_hour,predicted,target,error_rates
3801.0,217.71666666666667,3825.0,215.93857,283.66666,23.875942
3802.0,365.45,3826.0,363.6719,335.48334,8.402375
3803.0,448.7,3827.0,446.92188,419.01666,6.6596904
3804.0,404.51666666666665,3828.0,402.7386,214.24998,87.97601
3805.0,369.43333333333334,3829.0,367.65524,185.88333,97.78817
3806.0,348.96666666666664,3830.0,347.1886,200.95,72.77363
3807.0,373.51666666666665,3831.0,371.7386,229.08333,62.272217
3808.0,336.8,3832.0,335.0219,203.71666,64.45484
3809.0,377.71666666666664,3833.0,375.9386,202.41667,85.72511
3810.0,359.3666666666667,3834.0,357.58856,173.68332,105.885376
3811.0,328.6,3835.0,326.8219,151.86665,115.2032
3812.0,244.96666666666667,3836.0,243.18857,145.15,67.54294
3813.0,248.98333333333332,3837.0,247.20523,122.299995,102.130196
3814.0,234.98333333333332,3838.0,233.20523,134.9,72.87267
3815.0,268.1166666666667,3839.0,266.33856,167.98332,58.5506
3816.0,153.71666666666667,3840.0,151.93857,88.399994,71.87622
3817.0,164.7,3841.0,162.9219,13.199997,1134.2571
3818.0,185.3,3842.0,183.5219,18.499985,892.01105
3819.0,213.7,3843.0,211.9219,14.96666,1315.96
3820.0,211.58333333333334,3844.0,209.80524,17.5,1098.8871
3821.0,177.58333333333334,3845.0,175.80524,13.783325,1175.4922
3822.0,178.71666666666667,3846.0,176.93857,22.733307,678.32306
3823.0,182.61666666666667,3847.0,180.83856,33.533325,439.28012
3824.0,149.0,3848.0,147.2219,56.21666,161.88303
3825.0,283.6666666666667,3849.0,281.88858,92.13333,205.95721
3826.0,335.48333333333335,3850.0,333.70526,203.41666,64.05012
3827.0,419.01666666666665,3851.0,417.2386,242.56667,72.009865
3828.0,214.25,3852.0,212.4719,346.56665,38.692345
3829.0,185.88333333333333,3853.0,184.10522,347.68335,47.048016
3830.0,200.95,3854.0,199.1719,314.7,36.710552
3831.0,229.08333333333334,3855.0,227.30524,312.45,27.250687
3832.0,203.71666666666667,3856.0,201.93857,210.46666,4.0519915
3833.0,202.41666666666666,3857.0,200.63857,220.06667,8.8282795
3834.0,173.68333333333334,3858.0,171.90523,316.98334,45.76837
3835.0,151.86666666666667,3859.0,150.08856,141.23332,6.269937
3836.0,145.15,3860.0,143.3719,108.399994,32.26191
3837.0,122.3,3861.0,120.5219,100.66666,19.723751
3838.0,134.9,3862.0,133.1219,101.95,30.57568
3839.0,167.98333333333332,3863.0,166.20523,123.56666,34.506535
3840.0,88.4,3864.0,86.6219,92.44999,6.304043
3841.0,13.2,3865.0,11.4219055,60.116653,81.00043
3842.0,18.5,3866.0,16.721909,59.550003,71.91955
3843.0,14.966666666666667,3867.0,13.188568,33.399994,60.513264
3844.0,17.5,3868.0,15.721909,30.149994,47.854355
3845.0,13.783333333333333,3869.0,12.005249,27.533325,56.397392
3846.0,22.733333333333334,3870.0,20.955246,31.533325,33.545715
3847.0,33.53333333333333,3871.0,31.755249,46.066666,31.066751
3848.0,56.21666666666667,3872.0,54.43857,66.600006,18.260416
3849.0,92.13333333333334,3873.0,90.35523,75.01666,20.446882
3850.0,203.41666666666666,3874.0,201.63857,161.9,24.545135
3851.0,242.56666666666666,3875.0,240.78857,173.66666,38.64986
3852.0,346.56666666666666,3876.0,344.78857,155.79999,121.302055
3853.0,347.68333333333334,3877.0,345.90524,160.65,115.31607
3854.0,314.7,3878.0,312.9219,131.68332,137.63216
3855.0,312.45,3879.0,310.6719,115.21666,169.64148
3856.0,210.46666666666667,3880.0,208.68857,101.84999,104.89798
3857.0,220.06666666666666,3881.0,218.28857,87.41666,149.7105
3858.0,316.98333333333335,3882.0,315.20523,102.66666,207.01811
3859.0,141.23333333333332,3883.0,139.45523,86.45,61.31317
3860.0,108.4,3884.0,106.6219,71.43333,49.260727
3861.0,100.66666666666667,3885.0,98.888565,62.33333,58.64477
3862.0,101.95,3886.0,100.1719,53.233337,88.175125
3863.0,123.56666666666666,3887.0,121.78857,57.34999,112.360214
