HashFunction,TotalSum
e72c1540681c01fcedf92b51b790bf3d64dd9e56a5f9d1e02ee9c5471f9dc2fc,3755211
9997866f59da25f7bf81fa2f196ea2fe29ead8e7667b38f7b97baead85a02a7b,3753382
c6c0762087a90d721b8810bd0fece17d66ceec632d5464cd9f43ef2b905d6334,3750827
5f97081ed67e77fbd9179f3103b21fc83a801a908e3b9b73e0a8a75c6200277f,3750415
a9fb20bf834bfd85d6c5caca1106e2f81ddf25a9c7074ae594af192b9d763898,3750348
b5b2a4cca67d4e048cb7e4f46f18bb2b5fa75ba583f70192476df943491d9217,3676928
84498403146d501818934ae25368640d5cc4c8de99b51788bf5779b7b5ed5228,3645513
a21d40a02e91fa5eb9843759376b36f1a921da03d998f9500d56ce568c93ea99,3643197
162316c29e309f265676784f693e99bc34b101b279fb14bbd1211d98ce8332ab,3597912
756c2b8fbab473977af78272d0d0838427723921a1241d0e08caa16f3ec75f73,3556537
21d5bee5fccb8038fb0979891f38c1de025fd9516386a1b67e155d9656975a58,3555171
2a0a3ada7306b39b8f08edf97035e5566d0a1b5cc7b56ebfeba200772533e63a,3477651
4fa3bc935afce15fbc3090854ba4aa54dc5ec848649541d583ef4add15604a42,3474262
001b49279bcee7d125a97b05270bfef90bd1e95312b78e2db639f0a531bd3543,3445304
bb8281251ed1c5915c57f2f455f60f00743bcdde7a5384be0471b85aab92e82b,3412400
a84b0b8c746fd9635c6bae66f7a2a88d71a4609f8492e7aacbeb3c57b7af8cd8,3411334
3a0bbd16a261221deefbb106e9b97094c5e800cc1b24158d1b1d4d31fc63966a,3362856
89fc22f6043f96ffe889008cc665d08953fc1dfcf48f37accd411091c405af6b,3350930
5aa585c3e72a68310ead5c49c3350b48d45379fe3f650cdd4506fab04ef1fb80,3342641
c74707ffe4434c786ad0bb67eabb1e1b003a156651d3b95c85cc986148706d4f,3342638
b782103b2a210618b499a0e762dd70d3ad3a0a97dadbbaff70a6b93e8ed919d7,3322492
adf7a08a361395a0628218dfce41e009094997399692f3b2be4eb6e439e93694,3321389
635f06ab3ee1cbaa563acb45ed1df143b0227f195dd08141165ad325aa290f38,3306527
cc9dabc875de2b70082258df2e4950452e0b403be4ab231e037cbc9d00a945b9,3279798
dc2d002853180ddf17182e75707c3da808036f32630554137ba3241fcec2852f,3252470
8f64c85bf73f1e1eb6fb78db614d1d1fcec30675865e78cc50f53e75f73f020f,3242615
4e6461cd34ddc8cd4518eae6c65df70c4f2044bbc68d2cb732abab733b380ba2,3206152
3da48e938933fba1d06b8f1d6979226f77cce5199542c09971a103f9a4bb917e,3197904
9467f3a8269960c7cf5eb6be3010d6a7b4d6ede14fae5e2ca2b58279c82d56e0,3177267
affb5b3813bacf26f04003d8380f66a8559d7a1498a752026cd2062efc5405c7,3149002
6fb111c7dd18a3003a3f25ff48b0fa9e9b0af51ad471a385f814e9885cba5bfe,3081491
b929fc7f2106e9aaa4b0d47790c34b48909a5c83d8820f1147daddda470bc320,3069151
1d79613f87ed0d23c3e6f028df721b9d3bf4d322bfb3cf8bdc831fad4231f726,3043572
f52f01e691fcba131ff92a9fab3323c3ad2298c48d81050996bbd82a94187e75,3003627
f9d81b9d7667c482ca1c4e60edff8785c0225a0804fc1d4347b7192603d7fa32,2988901
3898f0bad28ef171db846e78aeefd750723524941077b8ed1076c87d6875bade,2962475
8605dbd8e5f2fa8ce97a0b14b7abb26cb7deebf19748962f3de909e9fc355288,2889167
ba0276a79be3428496d199f1dbafc70da253f3fdc034ac28332ce20e6d9add65,2875587
b8fade4b5b4899584a8aef8301462586ab552c6a99398a9dd4325e0db5fd7898,2868814
53f53cebe4e9d1cca67c6d1be8be2935831bd3870e3d2f01e5f51bf2429bf299,2822309
a7be450719c68f1945562460a945e08558e7ce7a22e8eb6278312d12eb669ba5,2793598
c312437e176c2fe51fe5e71ecfe7f04c0c7bdcca0fee53a668e4ecb61e96783a,2774470
c9d80deac99bad77dd3a2048111e9e8869108f0dda22a427e21811c5d06f6e52,2762542
7a638a3f1945e8d1db886d5bbd0abf94feec2951eb0389b706a598cdaf735b0c,2759723
e6f48852215a67d875962f795baf829d492bba8c8fa31a3f384895b254477559,2754955
63be1a952a8e5b06858ac640b8ffda3fbc1744694c531472ac5e67e40979339a,2741790
7a93cb22341a7ccfb0f0f4b3d4846717abcf63707b1a10502702fbe67373a63d,2707072
b6ea38d43373e0fb133096d98b66f96fa878d5007503dd3e6aa115cafcd5f960,2626664
b36b401a0aa6e3b694a01f938177ca98adb610752707189d05379fcc638aefd6,2605332
a8ce38b224897ef1a0d5d9fe15deae3a9fc8cc372678465d537246957b023298,2602628
e598b16076c8b5a1c10cfad5e6a75cabaf9629e7b198691cc3607e829e82f93e,2597684
a37c8fded428afea9129d60188d1fd85f52da833f3361c335422b0a29f2aa32e,2594082
067db9e34208d72cb693c8c199dfb3fdd7a0d11e29bc6285aeb702ddea18ff7e,2555216
14791271a90ec3367801061af22a129b79fbc1ad41d8feffc44c7bf636670b47,2552601
ea5503817ca9a1d47836e66a1fd3aa572374a1f5cd389a5a74eb4aca6363d27c,2544666
db59d1b917af1752b58bfc70dfc2a84d46e92c11f3247a16825fc18ad6ab0477,2521605
b567e4c205d121929ae65733c9ec55d70c993bc6a96a5d0a50988c3e9a180154,2477927
1f99061074ba1ca04b763dd578b73696e2639df5a9c0a8af8af39e9ff7f72969,2458195
e7cd675a9087f97c9c3f5861ef1c646938f820063f313ac639bd23f80b1463ba,2457650
cdd7f8f44ac6030d7cee797d0994ca2d539095f51d4b09501aee4b52f450a3c2,2442001
f09f701fb24d653511cda18120864b4d8e0bca0725b11a336116b794950336b9,2427637
04c87014105d05d129227d1e8821ec1d074395fe2ee0738c4f0e33b1f3f6f2bc,2425200
