hour,true_hourly_energy,avg_invocation_rate
1095,750824.1911640001,281.0689655172414
1096,719677.4235360001,274.0357142857143
1097,687301.0853980001,252.69811320754718
1098,757357.1520580001,225.4406779661017
1099,780144.9488560001,241.66666666666666
1100,783691.9842720001,256.8666666666667
1101,778664.9792920001,262.9
1102,771220.3681760001,218.0
1103,704698.2639060001,163.31666666666666
1104,587681.11386,110.7
1105,511616.96119000006,88.78333333333333
1106,369944.534876,44.0
1107,291989.027788,23.966666666666665
1108,263329.986332,17.5
1109,262603.25680000003,17.633333333333333
1110,237945.413968,11.766666666666667
1111,364445.719082,42.45
1112,553793.42157,97.45
1113,736330.3251100001,186.81666666666666
1114,728664.641882,204.70689655172413
1115,753388.6945600001,214.135593220339
1116,725465.3666100001,173.78333333333333
1117,697634.919356,158.66666666666666
1118,716768.93758,168.86666666666667
1119,754144.7941720001,198.43333333333334
1120,746989.8301820001,192.95
1121,727441.1219700001,187.74576271186442
1122,675683.54974,174.17857142857142
1123,749741.9174560001,197.6
1124,773147.1954400002,233.66666666666666
1125,760676.009836,207.16666666666666
1126,745407.5603320001,192.7
1127,693753.4730780001,156.65
1128,581578.5425460001,106.68333333333334
1129,475895.317502,73.61666666666666
1130,432136.19134400005,62.53333333333333
1131,325496.959218,32.65
1132,256476.09119600002,15.9
1133,249708.716384,14.5
1134,301185.896116,26.4
1135,425251.600846,59.516666666666666
1136,715638.4129660001,175.65
1137,723660.4074480002,298.5263157894737
1138,543896.9405280001,322.3181818181818
1139,462360.14613800007,326.6578947368421
1140,673937.1034640002,295.8867924528302
1141,756608.3942040001,279.3898305084746
1142,772866.4956860001,234.58333333333334
1143,784654.7170500001,252.51666666666668
1144,745463.6824420001,233.94827586206895
1145,719417.65465,214.66071428571428
1146,749741.2852720001,214.40677966101694
1147,762493.2449700001,237.67796610169492
1148,776221.2182560001,264.56666666666666
1149,776068.703162,249.28333333333333
1150,774786.2818720001,241.23333333333332
1151,744585.9324040001,188.9
1152,661104.09923,139.31666666666666
1153,277488.104344,20.666666666666668
1154,234085.31295000002,10.916666666666666
1155,213685.59446400002,6.5
1156,211903.08179000003,6.116666666666666
1157,214434.078612,6.666666666666667
1158,226628.646184,9.3
1159,340353.75800200005,36.15
1160,563501.962424,100.53333333333333
1161,759474.7475100001,203.11666666666667
1162,774306.9483380001,233.21666666666667
1163,763672.8770880001,240.77966101694915
1164,772785.382682,222.55
1165,753556.341676,198.93333333333334
1166,754924.720638,199.61666666666667
1167,750980.0075640001,226.82758620689654
1168,781792.7112280001,245.96666666666667
1169,776201.159988,225.56666666666666
1170,756521.8796880001,218.135593220339
1171,769615.0913920001,214.56666666666666
1172,778718.6676740001,256.55
1173,764140.9030320001,258.8474576271187
1174,777020.5077800001,247.26666666666668
1175,746825.5449600001,194.03333333333333
1176,680387.9751240001,154.4
1177,614062.323618,122.95
1178,428888.86197,59.983333333333334
1179,310160.97865,28.35
1180,275329.48762800003,20.366666666666667
1181,248313.066074,14.05
1182,269859.43864,19.0
1183,351741.03793800005,38.55
1184,521482.3043,87.63333333333334
1185,695489.596584,157.93333333333334
1186,755088.0947420001,202.35
1187,760812.9815420001,228.66101694915255
1188,773900.0028380001,235.91666666666666
1189,768709.2598720001,218.06666666666666
1190,765344.4143600002,222.26666666666668
1191,780019.6173420001,231.88333333333333
1192,781012.2922980001,244.85
1193,752583.9488780001,247.63793103448276
1194,770902.6577360001,225.4
1195,760492.69454,213.36666666666667
1196,726233.1809260001,236.625
1197,765848.4469580001,235.65
1198,771203.3089960001,220.26666666666668
1199,744298.0759100001,195.18333333333334
1200,657377.6964680001,139.66666666666666
1201,533693.5660880001,89.8
1202,413620.93794800004,54.43333333333333
1203,325783.01258000004,32.03333333333333
1204,266031.897536,18.033333333333335
1205,241606.741294,12.583333333333334
1206,237134.479828,11.6
1207,314047.837902,29.783333333333335
1208,498511.792344,79.6
1209,656793.672018,139.71666666666667
1210,735632.7314780001,185.18333333333334
1211,767568.2856480001,216.16666666666666
1212,772611.6503140001,221.81666666666666
1213,769118.4044100001,222.05
1214,771965.8459040001,225.53333333333333
1215,774639.1621940001,228.55
1216,770725.577748,225.33333333333334
1217,768325.4710240001,215.96666666666667
1218,760729.238264,206.06666666666666
1219,755454.4723660001,201.68333333333334
1220,772332.6834820001,219.61666666666667
1221,770916.1334,218.36666666666667
1222,749767.065122,195.58333333333334
1223,715005.3909540001,170.78333333333333
1224,623833.170444,124.9
1225,498182.825972,79.6
1226,360785.93264400004,40.4
1227,285366.565886,22.483333333333334
1228,256039.118312,15.833333333333334
1229,235287.55556600002,11.183333333333334
1230,270238.572314,19.616666666666667
1231,371008.15459600004,43.733333333333334
1232,537577.7183340001,92.81666666666666
1233,725076.5405740001,178.98333333333332
1234,774827.268932,229.06666666666666
1235,774857.0418240001,232.16666666666666
1236,678869.5596400001,222.67924528301887
1237,720295.3261920001,171.53333333333333
1238,745191.1415740001,189.48333333333332
1239,777511.9221640001,255.63333333333333
