hour,median,mean,std,p05,p50,p95,true_hourly_energy,mean_minus_truth
1117.0,496816.5660626394,502052.511166112,47060.185373606306,445127.3003540864,496816.5660626394,577644.9540831356,448735.24400976585,53317.26715634612
1118.0,511226.2690407034,503661.06391671294,53302.901297317265,435004.41639494034,511226.2690407034,587845.204691885,463572.3532811204,40088.71063559252
1119.0,481498.4937244018,495901.4653558343,51807.8917631485,444565.97844058945,481498.4937244018,615336.8291546243,503671.03286961315,-7769.567513778864
1120.0,472381.27471150405,492098.6351649346,49614.78646047058,445697.31960803876,472381.27471150405,595169.4991274538,496198.53852766025,-4099.9033627256285
1121.0,482739.42317260476,489997.6586308775,48948.12034071222,432984.4464593146,482739.42317260476,591341.7318670099,480886.8486442635,9110.809986613982
1122.0,511497.0959360592,506114.80283834774,18940.97652250563,479014.4386897827,511497.0959360592,530678.3556847175,439460.8154516143,66653.98738673341
1123.0,513433.2987521566,522094.7480626675,25273.487640583822,491171.40692058235,513433.2987521566,565857.1132203845,502002.07546369644,20092.672598971054
1124.0,558647.1245566036,555689.9919909667,28206.750746216392,510906.8226250231,558647.1245566036,591183.3605190634,547347.1474949241,8342.844496042584
1125.0,567515.364246627,566024.223835548,27087.487793913708,516362.2786262186,567515.364246627,590635.1371275734,514790.020295905,51234.20353964303
1126.0,539955.6182892264,543776.4316125878,20689.130182332996,517639.65241165436,539955.6182892264,575324.4632132577,495655.80224963545,48120.62936295231
1127.0,486851.5592627489,484192.56878424727,23683.064252240212,442662.30530153424,486851.5592627489,517067.4562837659,445785.9328166019,38406.63596764539
1128.0,396373.41738892265,395050.4159695701,30925.21663428471,353892.7688859135,396373.41738892265,450582.4737617561,370136.7703972447,24913.64557232539
1129.0,331151.8557260408,329492.2610625358,28258.036239782185,286559.934083818,331151.8557260408,373801.01579755853,315015.3442177,14476.916844835796
1130.0,260913.48306410183,257012.42553765594,46735.03363011719,180781.36083222282,260913.48306410183,321045.4556973795,295198.7514744488,-38186.325936792884
1131.0,236691.01490399652,245032.63763077187,37126.92390265511,201749.16958574788,236691.01490399652,311327.8047487125,243593.51431843205,1439.123312339827
1132.0,220914.99903348708,225604.3025074596,30347.02491719702,182959.6504300023,220914.99903348708,272002.1681784058,213180.47014720182,12423.832360257773
1133.0,216705.77678848765,221487.3304151759,29929.391455181478,182887.10971978752,216705.77678848765,274346.0053622822,210477.8742903715,11009.45612480442
1134.0,209904.50510747288,219241.0923136494,29256.623289613322,182721.42487061396,209904.50510747288,264961.5790233125,232477.47854535448,-13236.38623170508
1135.0,291203.8863606851,291373.0103728065,30539.583900732927,248563.22711283504,291203.8863606851,339502.58441125334,290613.4943223641,759.516050442413
1136.0,364022.92612953205,367892.1830630466,29228.122298449125,320692.5058452434,364022.92612953205,422676.2717683269,471210.8016681561,-103318.61860510951
1137.0,465091.0374024806,470618.46820593457,16889.248868954375,457594.7975467916,465091.0374024806,503654.5777080205,589273.8045576082,-118655.33635167364
1138.0,496103.99630484416,508355.53246611357,40849.570863081026,467620.72919893335,496103.99630484416,565235.1716871427,472625.06308530417,35730.4693808094
1139.0,523949.91458526923,529977.5109619744,37687.355775289,490638.0946633772,523949.91458526923,579273.8734880672,410159.4780904873,119818.03287148708
1140.0,485682.791168691,513930.8384398508,63507.80965458125,457619.01658948546,485682.791168691,635034.111052852,545403.7389146101,-31472.900474759343
1141.0,472366.0437987596,500980.5704265787,57396.01644120173,451622.4279069515,472366.0437987596,617486.9546422763,589471.3952116875,-88490.82478510885
1142.0,503784.5325416413,509901.99462639826,57780.78305456218,446207.44189788663,503784.5325416413,621989.2833628823,548358.79246286,-38456.797836461745
