mc_mean,mc_median,std,p05,p50,p95,true_hourly_carbon,mc_mean_minus_truth
128537138.95330463,128237975.2435279,23670667.011700124,98313174.08764829,128237975.2435279,181826374.1198746,120054573.06712694,8482565.886177689
196274100.7823462,186424252.78871948,31104409.025086597,152917841.23278978,186424252.78871948,244123282.01337495,176947576.28727895,19326524.49506724
236096055.88971964,228634927.88715467,25218376.31532594,204407783.65762594,228634927.88715467,278189168.38777083,222931939.83127394,13164116.058445692
271607462.97802615,267146512.75812817,23181955.575235054,240010613.37530628,267146512.75812817,313177165.00656384,274138702.4088806,-2531239.4308544397
291022168.4879525,283973299.4559673,21412741.35969206,265530522.02800104,283973299.4559673,330512352.1937016,279602531.1158538,11419637.372098684
292804737.5167659,288623175.8717151,17283636.795050222,272880547.0702127,288623175.8717151,328320253.7436049,283839835.0291488,8964902.487617075
294525150.67485493,289903589.0177157,19553084.43375265,268460250.0035096,289903589.0177157,326877205.19951767,277295645.5479834,17229505.126871526
293434965.37086046,291362537.72502446,14036218.381618852,274647380.42866015,291362537.72502446,321762451.4595034,271182279.081299,22252686.28956145
296545261.9401433,295499391.62479925,14473758.074553357,274322561.1774654,295499391.62479925,322132563.37954295,277331981.01990026,19213280.920243025
298868965.47585773,298670826.44607574,13228593.982325992,277850564.3433076,298670826.44607574,321285826.5799626,272359885.2144654,26509080.261392355
294080247.36807156,293195327.2849937,13500526.090037953,272749261.97874635,293195327.2849937,317474887.8465209,285409404.1674566,8670843.20061493
293643902.0578576,293229179.8304631,9426208.461336419,278861844.8984262,293229179.8304631,310228392.4734838,284585400.9388153,9058501.119042277
296312195.5332672,295087949.80191815,12020288.533399934,279242000.52089006,295087949.80191815,317972742.94149685,265956279.32059768,30355916.21266952
299810266.35279256,299091557.74720097,11755258.27689644,283047290.3620957,299091557.74720097,321277360.7784739,272572078.36499727,27238187.987795293
298097936.4056462,297360964.3936844,9805822.458062071,284103767.52463245,297360964.3936844,316527111.61548454,278749021.62900543,19348914.776640773
289777393.15808934,289150025.7739265,9492075.632858364,275889893.38464737,289150025.7739265,306461727.5555397,269042421.8088064,20734971.34928292
261707341.35757735,259900609.10760826,12012365.546218088,245471219.28776008,259900609.10760826,283329236.188382,246888873.6772432,14818467.68033415
229110086.3289716,228448926.27827913,8990710.069025813,214416745.3974795,228448926.27827913,245700139.4108438,220289008.38094252,8821077.948029071
195103524.11470214,194933791.09264526,10790662.727038324,176347062.1664362,194933791.09264526,213160409.05446807,176032325.0977435,19071199.016958624
150571280.4303259,147465059.30660474,8896075.929470299,139891781.28600723,147465059.30660474,166495996.66420385,150975836.6414779,-404556.2111520171
130022384.96832596,131700567.83827256,12955374.269809565,105529372.53959,131700567.83827256,147820074.07986006,124370615.20922281,5651769.759103149
113197932.48478043,113624013.87551743,10733321.137254337,98597242.11412306,113624013.87551743,129034367.32829848,111648613.9099537,1549318.5748267323
99805973.98283,97376578.47943825,9949716.443316128,88159431.47828846,97376578.47943825,118650648.43179546,115598209.3490192,-15792235.366189197
101716873.8017929,96569544.0768337,13495585.741680693,87876591.90955317,96569544.0768337,130505282.64121255,112149226.28761166,-10432352.485818759
121168516.15722013,119533536.68240356,15832508.636251092,98085706.6570312,119533536.68240356,146098601.9661075,113964484.61428298,7204031.542937145
157961154.8553554,156505504.4340813,12349841.12671367,140531463.80485886,156505504.4340813,179704559.50430194,153197569.0153436,4763585.840011805
203281156.91722676,201530275.19989294,12626320.028964713,184889479.35320887,201530275.19989294,224825739.97859296,197268047.11647645,6013109.800750315
242476647.14507028,237242622.05367738,15581085.1879491,224252620.07169706,237242622.05367738,272419962.91553926,240324620.5817521,2152026.563318193
274936520.466802,273718438.3213861,11310189.509397898,259495810.13591057,273718438.3213861,295029674.7337096,271881966.3921848,3054554.074617207
288719568.5183147,289552870.2646014,11481464.276056077,270989838.4183594,289552870.2646014,306559722.5513681,266943662.44974375,21775906.06857097
285659177.0133804,284920231.6153902,13600288.819520319,265348175.1136433,284920231.6153902,308398574.8431577,269637724.75719863,16021452.256181777
293258985.5478355,293954768.95021385,11640587.65080555,273162499.1524711,293954768.95021385,312250503.54103947,273478911.87560713,19780073.672228396
287144767.9564197,286897033.1292573,10118836.445395969,271509668.41663325,286897033.1292573,303455997.9988217,283040407.2207507,4104360.735669017
285880806.26805705,286624269.6476627,12158211.212354578,264301411.7980768,286624269.6476627,304014764.3879681,287395286.6217764,-1514480.3537193537
279557580.8037918,277360128.61641145,11530683.720221585,263084808.25151765,277360128.61641145,301017490.1006016,282603933.21678954,-3046352.4129977226
281003705.10499763,282624011.99700636,12809605.579905514,259894400.50052878,282624011.99700636,301022039.4698338,271281988.9392488,9721716.165748835
284342139.9269003,284406838.1795403,11816289.44785907,263213587.32488936,284406838.1795403,303968790.12600595,276011903.9660087,8330235.960891604
285901585.986178,287567931.2872796,13301647.592052085,258798586.65715072,287567931.2872796,305007003.7583372,284851327.2223896,1050258.763788402
283310480.5331999,283794141.1548732,10053638.462957095,265347957.70535186,283794141.1548732,299527525.63458705,251222015.53062186,32088465.00257805
274236863.5742085,274154462.90411246,9056183.759092191,260876615.57042885,274154462.90411246,289247995.9895202,238605202.4612217,35631661.1129868
241425244.54509667,243438381.88224113,12623575.577745752,220747607.498923,243438381.88224113,260761923.80796275,221816353.49328268,19608891.05181399
213876637.65307277,215005443.66316533,10193900.500269545,197431862.76916835,215005443.66316533,229220721.58281854,176689650.81835902,37186986.83471376
168028783.63257384,172937870.50426468,14839333.072332395,142682346.75741816,172937870.50426468,186392271.01894116,149385439.50373283,18643344.128841013
141018986.91683707,144031551.49776816,14515935.683475737,114207964.1239224,144031551.49776816,159557167.9285372,124944565.54621619,16074421.370620877
117664552.35723287,117696946.41604802,10990008.328372909,95157299.31380257,117696946.41604802,133675275.5969747,114668658.02317356,2995894.334059313
104253523.05662587,104679532.18612029,9308066.556221139,88507971.06718415,104679532.18612029,117612707.98176993,104534660.6675315,-281137.6109056324
100122168.34029593,100941843.46493834,12456602.86463001,84068895.32323222,100941843.46493834,120952992.29707369,97908107.90406725,2214060.4362286776
98246670.4274103,100036362.89646108,8549998.995493028,84003255.8027103,100036362.89646108,111491530.7639487,100823903.53567626,-2577233.1082659513
107378308.5780064,107856861.36682501,14077577.994381057,84380503.66586635,107856861.36682501,130354276.1905017,114917533.28866953,-7539224.710663125
137067728.0126455,142146327.88352078,14580971.24563795,108546772.29760717,142146327.88352078,154902461.16006875,163594324.8473474,-26526596.834701896
182657552.73462316,182974457.39988554,10418084.144253438,164875841.13173547,182974457.39988554,198472008.8350589,226784976.9071372,-44127424.17251402
198701208.65978992,196011307.45044005,19366796.827406507,173094155.00493568,196011307.45044005,242814117.55484056,244427132.66141704,-45725924.00162712
229411387.01286978,222523865.8875165,26173513.18278399,197515317.4793957,222523865.8875165,281947416.515083,261376371.46064603,-31964984.447776258
223501796.93259642,214851148.30709112,28261718.0030275,186762265.19429916,214851148.30709112,276784623.5173696,244595096.188099,-21093299.25550258
219189268.1608627,216766074.49418002,18025201.645679712,194375867.03150088,216766074.49418002,262159404.62679163,253435385.9782278,-34246117.81736508
229998667.51275575,226887117.83756644,28653737.12339004,186431657.3131217,226887117.83756644,283268736.6268611,264903122.0825906,-34904454.56983486
225469371.54157457,223152213.87740576,25411063.493311778,188486958.35011643,223152213.87740576,271160455.2779429,294947702.13250476,-69478330.5909302
217081618.28288192,214014205.96517336,17664097.620787393,191824014.886821,214014205.96517336,250616036.9449139,292030080.458196,-74948462.17531407
248666627.98431185,244841771.9842857,22896233.15069712,213514500.41733664,244841771.9842857,282404430.56051636,275811345.864561,-27144717.880249172
225480147.5430581,232292401.62568346,20122485.6626928,189125222.29453644,232292401.62568346,251347163.5050242,267378704.55280948,-41898557.00975138
254153703.26687077,250713571.1850139,24490537.849782713,215664137.5105894,250713571.1850139,291704089.1842452,269906027.4206708,-15752324.15380004
273417704.83822733,276824464.4019246,26942154.381420963,232435842.53892767,276824464.4019246,317602498.6059811,280665950.03760356,-7248245.1993762255
261484135.30008775,260012401.4144817,23535188.133114118,223511765.74268055,260012401.4144817,301529260.6292958,257522653.97413152,3961481.3259562254
261742392.6696538,257261841.45369655,20313941.78241455,234028683.1308144,257261841.45369655,297290766.58575463,228207529.89535424,33534862.774299562
223706622.49422333,219930952.8334998,25098860.092143077,180089847.9839272,219930952.8334998,262335816.335222,188115969.93249878,35590652.56172454
197192477.90779558,188588010.72408855,30005658.86635634,150273594.88937494,188588010.72408855,243575682.1193152,153299116.49303672,43893361.41475886
154355408.49534944,152654088.30792156,15876403.532830384,122770408.00589456,152654088.30792156,189949346.09356233,121611877.91633137,32743530.57901807
