hour,hour_invocation,hour_of_day,day_of_week
21174,188.0,6,0
21175,171.0,7,0
21176,173.0,8,0
21177,170.0,9,0
21178,202.0,10,0
21179,178.0,11,0
21180,170.0,12,0
21181,170.0,13,0
21182,190.0,14,0
21183,162.0,15,0
21184,194.0,16,0
21185,162.0,17,0
21186,186.0,18,0
21187,160.0,19,0
21188,194.0,20,0
21189,156.0,21,0
21190,154.0,22,0
21191,176.0,23,0
21192,184.0,0,1
21193,176.0,1,1
21194,176.0,2,1
21195,181.0,3,1
21196,185.0,4,1
21197,196.0,5,1
21198,213.0,6,1
21199,201.0,7,1
21200,209.0,8,1
21201,242.0,9,1
21202,210.0,10,1
21203,206.0,11,1
21204,243.0,12,1
21205,274.0,13,1
21206,190.0,14,1
21207,202.0,15,1
21208,192.0,16,1
21209,189.0,17,1
21210,160.0,18,1
21211,204.0,19,1
21212,193.0,20,1
21213,166.0,21,1
21214,202.0,22,1
21215,203.0,23,1
21216,230.0,0,2
21217,240.0,1,2
21218,253.0,2,2
21219,220.0,3,2
21220,243.0,4,2
21221,256.0,5,2
21222,266.0,6,2
21223,214.0,7,2
21224,187.0,8,2
21225,218.0,9,2
21226,201.0,10,2
21227,178.0,11,2
21228,219.0,12,2
21229,184.0,13,2
21230,206.0,14,2
21231,205.0,15,2
21232,177.0,16,2
21233,219.0,17,2
21234,229.0,18,2
21236,236.0,20,2
21237,232.0,21,2
21238,204.0,22,2
21239,178.0,23,2
21240,223.0,0,3
21241,229.0,1,3
21242,223.0,2,3
21243,234.0,3,3
21244,184.0,4,3
21245,189.0,5,3
21246,198.0,6,3
21247,218.0,7,3
21248,204.0,8,3
21249,177.0,9,3
21250,159.0,10,3
21251,164.0,11,3
21252,135.0,12,3
21253,171.0,13,3
21254,165.0,14,3
21255,217.0,15,3
21256,233.0,16,3
21257,223.0,17,3
21258,258.0,18,3
21259,230.0,19,3
21260,252.0,20,3
21261,210.0,21,3
21262,206.0,22,3
21263,228.0,23,3
21264,268.0,0,4
21266,205.0,2,4
21267,197.0,3,4
21268,209.0,4,4
21269,225.0,5,4
21270,197.0,6,4
21271,225.0,7,4
21272,162.0,8,4
21273,185.0,9,4
21274,181.0,10,4
21275,190.0,11,4
21276,161.0,12,4
21277,180.0,13,4
21278,184.0,14,4
21279,155.0,15,4
21280,215.0,16,4
21281,164.0,17,4
21282,201.0,18,4
21283,196.0,19,4
21284,194.0,20,4
21285,228.0,21,4
21286,195.0,22,4
21287,190.0,23,4
21288,226.0,0,5
21289,228.0,1,5
21290,167.0,2,5
21291,150.0,3,5
21292,154.0,4,5
21293,148.0,5,5
21294,191.0,6,5
21295,191.0,7,5
21296,162.0,8,5
21297,192.0,9,5
21298,183.0,10,5
21299,183.0,11,5
21300,154.0,12,5
21301,180.0,13,5
21302,186.0,14,5
21303,185.0,15,5
21304,180.0,16,5
21305,156.0,17,5
21306,161.0,18,5
21307,206.0,19,5
21308,162.0,20,5
21309,154.0,21,5
21310,135.0,22,5
21311,200.0,23,5
21312,237.0,0,6
21313,242.0,1,6
21314,192.0,2,6
21315,205.0,3,6
21316,235.0,4,6
21317,210.0,5,6
21318,189.0,6,6
21319,144.0,7,6
21320,175.0,8,6
21321,186.0,9,6
21322,175.0,10,6
21323,218.0,11,6
21324,187.0,12,6
21325,192.0,13,6
21326,211.0,14,6
21327,208.0,15,6
21328,177.0,16,6
21329,166.0,17,6
21330,216.0,18,6
21331,209.0,19,6
21332,204.0,20,6
21333,173.0,21,6
21334,169.0,22,6
21335,180.0,23,6
21336,166.0,0,0
21337,168.0,1,0
21338,210.0,2,0
21339,212.0,3,0
21340,193.0,4,0
21341,193.0,5,0
21342,184.0,6,0
21343,194.0,7,0
21344,162.0,8,0
21345,177.0,9,0
21346,212.0,10,0
21347,153.0,11,0
21348,155.0,12,0
21349,168.0,13,0
21350,176.0,14,0
21351,171.0,15,0
21352,187.0,16,0
21353,187.0,17,0
21354,169.0,18,0
21355,169.0,19,0
21356,167.0,20,0
21357,174.0,21,0
21358,212.0,22,0
21359,181.0,23,0
21360,164.0,0,1
21361,190.0,1,1
21362,155.0,2,1
21363,166.0,3,1
21364,196.0,4,1
21365,178.0,5,1
21366,175.0,6,1
21367,195.0,7,1
21368,163.0,8,1
21369,164.0,9,1
21370,162.0,10,1
21371,144.0,11,1
21372,143.0,12,1
21373,192.0,13,1
21374,163.0,14,1
21375,158.0,15,1
21376,227.0,16,1
21377,234.0,17,1
21378,204.0,18,1
21379,219.0,19,1
21380,192.0,20,1
21381,187.0,21,1
21382,205.0,22,1
21383,220.0,23,1
21384,224.0,0,2
21385,250.0,1,2
21386,258.0,2,2
21387,198.0,3,2
21388,226.0,4,2
21389,188.0,5,2
21390,234.0,6,2
21391,267.0,7,2
21393,235.0,9,2
21394,216.0,10,2
21397,220.0,13,2
21398,234.0,14,2
21399,209.0,15,2
21400,212.0,16,2
21401,165.0,17,2
21402,220.0,18,2
21403,237.0,19,2
21404,194.0,20,2
21405,248.0,21,2
21406,246.0,22,2
21407,201.0,23,2
21408,171.0,0,3
21409,187.0,1,3
21410,201.0,2,3
21411,222.0,3,3
21412,201.0,4,3
21413,197.0,5,3
21414,186.0,6,3
21415,184.0,7,3
21416,181.0,8,3
21417,206.0,9,3
21418,259.0,10,3
21419,217.0,11,3
21420,220.0,12,3
21421,213.0,13,3
21422,225.0,14,3
21423,233.0,15,3
21424,186.0,16,3
21425,211.0,17,3
21426,200.0,18,3
21427,220.0,19,3
21428,180.0,20,3
21429,216.0,21,3
21430,233.0,22,3
21431,190.0,23,3
21432,172.0,0,4
21433,182.0,1,4
21434,191.0,2,4
21435,244.0,3,4
21436,197.0,4,4
21437,182.0,5,4
21438,162.0,6,4
21439,165.0,7,4
21440,228.0,8,4
21441,209.0,9,4
21442,222.0,10,4
21443,249.0,11,4
21444,250.0,12,4
21445,242.0,13,4
21446,245.0,14,4
21447,255.0,15,4
21448,185.0,16,4
