x_last_hour,x_start_hour,predicted,target,error_rates
109.0,89.0,109.27879,109.0,0.2557737
76.0,62.0,76.27879,58.0,31.51516
36.0,69.0,36.608475,54.0,32.206528
38.000008,77.0,38.2788,37.0,3.456219
234.0,209.0,234.2765,267.0,12.255991
145.0,149.0,145.27191,190.0,23.5411
243.0,262.0,243.27519,256.0,4.970628
62.0,99.0,62.2788,43.0,44.83442
220.0,131.0,220.27878,155.0,42.11534
233.0,158.0,233.27878,190.0,22.778303
161.0,191.0,162.46457,181.0,10.24057
153.0,175.0,153.2788,187.0,18.032732
180.0,183.0,180.2788,148.0,21.809996
223.0,213.0,223.27878,164.0,36.1456
34.0,42.000008,34.277924,46.000008,25.482786
197.0,243.0,197.2788,170.0,16.04635
187.0,219.0,187.2788,219.0,14.48457
185.0,181.0,185.2788,181.0,2.3639743
10.000008,35.000008,10.278801,16.0,35.757492
57.0,136.0,57.25061,65.0,11.922138
121.0,161.0,121.27879,138.0,12.1168165
33.0,61.0,33.278793,30.0,10.929311
153.0,106.0,153.2788,149.0,2.8716733
203.0,182.0,203.2788,194.0,4.782883
127.0,103.0,127.25093,160.0,20.468168
180.0,180.0,180.2788,127.0,41.951805
92.0,66.0,92.26278,79.0,16.788328
197.0,180.0,197.2788,200.0,1.3606033
202.0,195.0,202.27878,178.0,13.639763
114.0,133.0,114.27879,140.0,18.37229
66.0,41.0,66.68022,74.0,9.891593
78.0,49.000008,78.27879,83.0,5.688201
94.0,116.0,94.26741,111.0,15.074405
204.0,208.0,204.25731,250.0,18.297077
172.0,167.0,172.2788,193.0,10.736377
111.0,87.0,111.27879,80.0,39.09849
102.0,131.0,102.27691,139.0,26.41949
235.0,198.0,235.2788,210.0,12.03752
206.0,220.0,206.27695,172.0,19.928457
124.0,112.0,124.27879,170.0,26.894829
112.0,41.0,112.27458,107.0,4.929516
105.0,86.0,105.27879,132.0,20.243338
120.0,91.0,120.27879,127.0,5.292289
235.0,143.0,235.25107,233.0,0.9661237
41.0,97.0,41.2788,49.000008,15.757563
168.0,167.0,168.2788,176.0,4.387049
22.000008,47.0,22.278801,23.000008,3.13568
187.0,138.0,187.26976,250.0,25.092094
175.0,144.0,175.26096,163.0,7.5220585
130.0,114.0,130.2788,156.0,16.487953
192.0,211.0,192.27878,194.0,0.8872278
191.0,229.0,191.2788,193.0,0.8918169
163.0,176.0,163.27861,150.0,8.8524065
230.0,204.0,230.27878,215.0,7.1064086
67.0,133.0,67.27879,78.0,13.745136
209.0,156.0,209.27878,171.0,22.38525
76.0,46.000008,76.27879,99.0,22.950714
166.0,180.0,166.30339,168.0,1.0098866
70.0,100.0,70.27879,71.0,1.015784
176.0,213.0,176.27585,176.0,0.15673204
145.0,158.0,144.3107,164.0,12.0056715
138.0,154.0,138.2788,86.0,60.78929
80.0,50.0,80.27879,52.000008,54.38227
70.0,49.000008,70.243546,70.0,0.34792218
164.0,196.0,164.2788,198.0,17.030912
141.0,200.0,141.26942,169.0,16.408625
152.0,189.0,152.2788,153.0,0.4713769
262.0,267.0,262.27878,165.0,58.956837
62.0,42.000008,62.2788,54.0,15.331114
146.0,158.0,146.2776,106.0,37.997738
190.0,181.0,190.2788,202.0,5.802578
202.0,235.0,202.27519,149.0,35.755165
203.0,178.0,203.27203,183.0,11.077614
180.0,185.0,180.27815,192.0,6.1051292
16.0,56.000008,16.278801,10.000008,62.787884
167.0,109.0,167.2788,144.0,16.165829
136.0,131.0,136.2788,149.0,8.537723
77.0,117.0,77.27879,68.0,13.645284
159.0,201.0,159.2479,203.0,21.552761
174.0,144.0,174.2788,187.0,6.8027844
154.0,165.0,154.2788,205.0,24.742052
214.0,233.0,214.2788,152.0,40.972893
251.0,200.0,251.27878,225.0,11.679457
201.0,178.0,201.2788,161.0,25.017885
54.0,65.0,52.40677,30.0,74.689224
135.0,44.0,135.2788,112.0,20.784637
131.0,123.0,131.2788,133.0,1.2941403
32.000008,43.0,32.26796,27.0,19.510962
150.0,230.0,150.2788,198.0,24.10162
133.0,96.0,133.27603,126.0,5.774628
84.0,21.000008,84.27879,69.0,22.143179
220.0,166.0,220.27878,258.0,14.620629
208.0,152.0,208.25409,163.0,27.763245
206.0,186.0,206.27536,169.0,22.056427
224.0,97.0,224.2518,187.0,19.920748
153.0,196.0,153.26051,159.0,3.60974
186.0,225.0,186.2677,173.0,7.669191
59.000008,64.0,59.2788,45.000008,31.730646
165.0,217.0,165.27704,215.0,23.126959
180.0,132.0,180.2585,192.0,6.115365
106.0,164.0,106.27418,152.0,30.082777
147.0,189.0,147.00745,180.0,18.329197
42.000008,71.0,42.2788,40.000008,5.6969824
12.0,27.0,12.25164,20.000008,38.74182
153.0,195.0,153.2629,150.0,2.1752625
100.0,43.0,100.27439,121.0,17.128601
54.0,62.0,54.278793,38.000008,42.8389
169.0,229.0,169.2788,218.0,22.349176
154.0,203.0,154.2788,176.0,12.341595
162.0,172.0,162.26978,180.0,9.850125
197.0,225.0,197.2788,183.0,7.802619
27.0,52.000008,27.278801,42.000008,35.050484
108.0,71.0,108.27583,132.0,17.972855
164.0,170.0,164.27351,204.0,19.473766
166.0,180.0,166.33218,160.0,3.9576151
118.0,135.0,118.262596,146.0,18.998222
81.0,27.0,81.27879,56.000008,45.140682
69.0,122.0,69.27879,82.0,15.513666
72.0,58.0,72.26611,70.0,3.237305
188.0,191.0,188.56522,204.0,7.5660706
21.000008,47.0,21.278801,13.000008,63.682983
118.0,148.0,118.27879,105.0,12.646469
113.0,153.0,113.27247,127.0,10.809079
208.0,205.0,208.26096,196.0,6.2555895
180.0,202.0,180.30576,156.0,15.580612
224.0,200.0,224.2788,189.0,18.666027
202.0,177.0,202.26083,206.0,1.8151293
193.0,164.0,193.2788,193.0,0.14445251
192.0,196.0,192.27649,202.0,4.813619
218.0,177.0,218.2788,202.0,8.058808
177.0,88.0,177.2172,132.0,34.25545
130.0,109.0,130.25041,148.0,11.992965
163.0,109.0,163.2788,130.0,25.599072
94.0,125.0,94.27879,75.0,25.705057
44.0,22.000008,44.62977,51.0,12.49065
132.0,234.0,132.2788,113.0,17.060879
121.0,57.0,121.27879,83.0,46.11903
