timestamp,load_name,sample_index,elapsed_s,dt_s,rapl_package_0_0_w,rapl_package_1_1_w,power_total_w
2025-12-19T04:28:47,rps-40,21,22.035826,1.001635,113.33572565330013,155.8058579437446,269.1415835970447
2025-12-19T04:28:48,rps-40,22,23.037315,1.001489,120.55521070765685,133.76956838247182,254.3247790901287
2025-12-19T04:28:49,rps-40,23,24.039836,1.002521,131.83496589774728,153.81953544434793,285.6545013420952
2025-12-19T04:28:50,rps-40,24,25.041452,1.001616,129.819450669763,142.1901706229408,272.0096212927038
2025-12-19T04:28:51,rps-40,25,26.042948,1.001496,128.71323214735114,138.61928593224505,267.3325180795962
2025-12-19T04:28:52,rps-40,26,27.045036,1.002088,117.8491735885986,147.5863132719581,265.4354868605567
2025-12-19T04:28:53,rps-40,27,28.0472,1.002164,119.74262603418059,141.2617462198027,261.00437225398326
2025-12-19T04:28:54,rps-40,28,29.049258,1.002058,125.75822891282738,156.2966117490812,282.05484066190854
2025-12-19T04:28:55,rps-40,29,30.051088,1.00183,134.8413240535843,149.4755838580478,284.3169079116321
2025-12-19T04:28:56,rps-40,30,31.053168,1.00208,131.06363315472913,140.24763058396601,271.3112637386952
2025-12-19T04:28:57,rps-40,31,32.055266,1.002098,142.13285928080467,142.81039092438135,284.943250205186
2025-12-19T04:28:58,rps-40,32,33.057448,1.002182,122.25435017220116,159.8453254072687,282.0996755794698
2025-12-19T04:28:59,rps-40,33,34.05901,1.001562,115.81016019147711,147.31207096228223,263.12223115375934
2025-12-19T04:29:00,rps-40,34,35.059965,1.000955,129.03731436785677,144.36456154867722,273.401875916534
2025-12-19T04:29:01,rps-40,35,36.061452,1.001487,122.76976131738459,136.7514982413932,259.5212595587778
2025-12-19T04:29:02,rps-40,36,37.063153,1.001701,142.08984037298094,151.22509858996148,293.3149389629424
2025-12-19T04:29:03,rps-40,37,38.065185,1.002032,122.35417705693405,138.5434030173131,260.8975800742471
2025-12-19T04:29:04,rps-40,38,39.066975,1.00179,146.50757160610897,144.90138076271475,291.40895236882375
2025-12-19T04:29:05,rps-40,39,40.069024,1.002049,124.77064129506007,145.43015273977872,270.2007940348388
2025-12-19T04:29:06,rps-40,40,41.07077,1.001745,137.53241733434086,143.16533129472145,280.6977486290623
2025-12-19T04:29:07,rps-40,41,42.072271,1.001501,130.83491668834245,138.67054488896613,269.50546157730855
2025-12-19T04:29:08,rps-40,42,43.073455,1.001184,127.51517033690087,141.3122115346516,268.82738187155246
2025-12-19T04:29:09,rps-40,43,44.075464,1.002008,123.65748108460055,144.84680868344768,268.50428976804824
2025-12-19T04:29:10,rps-40,44,45.077554,1.00209,126.5365481539141,133.31368486068857,259.8502330146027
2025-12-19T04:29:11,rps-40,45,46.079045,1.001491,137.02790316270193,130.82263413136775,267.8505372940697
2025-12-19T04:29:12,rps-40,46,47.081149,1.002103,132.115029665764,137.67205142238993,269.78708108815397
2025-12-19T04:29:13,rps-40,47,48.082645,1.001497,122.28268742580133,146.10634804500046,268.3890354708018
2025-12-19T04:29:14,rps-40,48,49.084764,1.002119,128.92528927993172,149.89714856089262,278.82243784082436
2025-12-19T04:29:15,rps-40,49,50.086224,1.001459,119.80178804789706,146.14157681053703,265.9433648584341
2025-12-19T04:29:16,rps-40,50,51.087692,1.001469,131.5336579821048,131.3292461932053,262.8629041753101
2025-12-19T04:29:17,rps-40,51,52.08945,1.001758,124.09629606220564,139.35069196701792,263.4469880292236
2025-12-19T04:29:18,rps-40,52,53.091545,1.002095,136.34834440855477,129.31451082376415,265.6628552323189
2025-12-19T04:29:19,rps-40,53,54.09343,1.001885,136.41731691284346,137.2901816176155,273.70749853045896
2025-12-19T04:29:20,rps-40,54,55.094909,1.001479,134.65052283201555,159.27827771633716,293.9288005483527
2025-12-19T04:29:21,rps-40,55,56.096483,1.001575,129.668488851176,140.21252808956538,269.88101694074135
2025-12-19T04:29:22,rps-40,56,57.097967,1.001484,119.24949561802897,122.64843487348257,241.89793049151154
2025-12-19T04:29:23,rps-40,57,58.100033,1.002066,129.30976816928228,138.4949337532829,267.8047019225652
2025-12-19T04:29:24,rps-40,58,59.10143,1.001397,120.29000388121987,158.97883244699207,279.26883632821193
2025-12-19T04:29:25,rps-40,59,60.10291,1.00148,137.24073164463,145.91073814599363,283.15146979062365
