hostname,timestamp,rps,sample_index,elapsed_s,dt_s,rapl_package_0_0_w,rapl_package_1_1_w,power_total_w,input_size
intel-manager,19/12/2025 03:21,20,35,36.060923,1.002021,103.5479392,124.8227532,228.3706924,563135
intel-manager,19/12/2025 03:21,20,36,37.062922,1.002,103.9568991,119.6999749,223.656874,563135
intel-manager,19/12/2025 03:21,20,37,38.064863,1.00194,102.7995217,113.9251825,216.7247041,563135
intel-manager,19/12/2025 03:21,20,38,39.066662,1.001799,103.4761437,135.9845219,239.4606656,563135
intel-manager,19/12/2025 03:21,20,39,40.06807,1.001408,106.3559998,120.3120879,226.6680877,563135
intel-manager,19/12/2025 03:21,20,40,41.068865,1.000795,103.6073188,130.8881766,234.4954955,563135
intel-manager,19/12/2025 03:21,20,41,42.070419,1.001554,100.0697594,127.3853945,227.4551539,563135
intel-manager,19/12/2025 03:21,20,42,43.072392,1.001973,104.3283364,132.2192089,236.5475453,563135
intel-manager,19/12/2025 03:21,20,43,44.07439,1.001998,99.21664,134.1554804,233.3721204,563135
intel-manager,19/12/2025 03:21,20,44,45.076396,1.002007,101.7277848,127.3608502,229.088635,563135
intel-manager,19/12/2025 03:21,20,45,46.078461,1.002065,118.3789354,130.7820058,249.1609412,563135
intel-manager,19/12/2025 03:21,20,46,47.079917,1.001456,103.0913926,133.8676697,236.9590623,563135
intel-manager,19/12/2025 03:21,20,47,48.081367,1.00145,105.3897553,123.4669503,228.8567056,563135
intel-manager,19/12/2025 03:21,20,48,49.083273,1.001906,103.090485,125.6842062,228.7746912,563135
intel-manager,19/12/2025 03:21,20,49,50.084752,1.001479,97.85262939,144.6873479,242.5399773,563135
intel-manager,19/12/2025 03:21,20,50,51.086169,1.001417,100.6103351,123.5161698,224.1265049,563135
intel-manager,19/12/2025 03:21,20,51,52.087761,1.001592,102.6999548,125.804595,228.5045498,563135
intel-manager,19/12/2025 03:21,20,52,53.089445,1.001683,100.9631583,125.0427427,226.0059009,563135
intel-manager,19/12/2025 03:21,20,53,54.091405,1.001961,103.3775676,117.1243848,220.5019524,563135
intel-manager,19/12/2025 03:21,20,54,55.09338,1.001975,105.5088108,126.4955667,232.0043775,563135
intel-manager,19/12/2025 03:21,20,55,56.095333,1.001952,105.7607088,124.9947131,230.7554219,563135
intel-manager,19/12/2025 03:21,20,56,57.0972,1.001867,99.91991411,125.9920128,225.9119269,563135
intel-manager,19/12/2025 03:21,20,57,58.099214,1.002014,95.8878585,128.4867272,224.3745856,563135
intel-manager,19/12/2025 03:21,20,58,59.100644,1.00143,100.824773,134.245027,235.0698,563135
intel-manager,19/12/2025 03:21,20,59,60.102616,1.001971,102.2775549,115.4971888,217.7747437,563135
,,,,,,,,,
intel-worker1,19/12/2025 03:20,20,0,1.004548,1.004548,114.1318037,121.0156427,235.1474464,563135
intel-worker1,19/12/2025 03:20,20,1,2.006016,1.001469,108.700586,110.288886,218.9894721,563135
intel-worker1,19/12/2025 03:20,20,2,3.007638,1.001622,104.0044685,102.1687036,206.1731722,563135
intel-worker1,19/12/2025 03:20,20,3,4.009342,1.001704,105.485135,124.2307428,229.7158778,563135
intel-worker1,19/12/2025 03:20,20,4,5.010816,1.001474,103.1888316,104.0354817,207.2243133,563135
intel-worker1,19/12/2025 03:20,20,5,6.012865,1.002049,94.97191047,123.0231264,217.9950369,563135
intel-worker1,19/12/2025 03:20,20,6,7.014549,1.001685,96.6292989,106.5808904,203.2101893,563135
intel-worker1,19/12/2025 03:20,20,7,8.016574,1.002025,101.6196545,118.4584398,220.0780943,563135
